,Region,Population,jan_cases,jan_rate,feb_cases,feb_rate,mar_cases,mar_rate,apr_cases,apr_rate,may_cases,may_rate,jun_cases,jun_rate,jul_cases,jul_rate,aug_cases,aug_rate,sep_cases,sep_rate,oct_cases,oct_rate,nov_cases,nov_rate,dec_cases,dec_rate,total
0,Newfoundland and Labrador,510550,390,0.0007638820879443737,408,0.0007991381843110372,989,0.0019371266281461169,1020,0.001997845460777593,1081,0.002117324454020174,1317,0.002579571050827539,1386,0.002714719420233082,1437,0.002814611693271962,1486,0.002910586622270101,1788,0.003502105572421898,1994,0.003905592008618157,2059,0.0040329056899422195,15355
1,Prince Edward Island,142907,94,0.0006577704381170971,111,0.0007767289216063593,132,0.0009236776365048598,159,0.0011126116985172175,177,0.0012385677398587893,204,0.001427501801871147,207,0.0014484944754280756,208,0.0014554920332803852,233,0.0016304309795881237,296,0.002071277124283625,315,0.0022042307234775064,372,0.0026030915210591503,2508
2,Nova Scotia,969383,1497,0.001544281259316493,1581,0.0016309343159514867,1642,0.001693860940412613,1719,0.0017732929089946904,2575,0.0026563288194655778,5579,0.005755207178174159,5840,0.006024450604147174,5887,0.006072935052502468,6038,0.006228704237643944,6715,0.006927086610761691,7413,0.0076471322480381855,8322,0.008584842110909723,54808
3,New Brunswick,775610,601,0.0007748739701654182,1264,0.0016296850221116284,1431,0.0018449994198115032,1623,0.0020925465117778265,1933,0.002492231920681786,2215,0.002855816712007323,2332,0.0030066657211743016,2383,0.0030724204174778563,2774,0.0035765397558051083,4272,0.005507922796250693,6476,0.008349557122780779,8411,0.010844367659003882,35715
4,Quebec,8501833,208390,0.024511184823319866,263599,0.031004960930189996,287874,0.033860227553281746,313062,0.036822882783042195,351631,0.04135943390090113,371088,0.04364799920205443,375276,0.04414059885674066,377644,0.04441912702825379,389914,0.04586234521426144,410823,0.04832169721517701,426456,0.05016047715827869,449366,0.052855190168990616,4225123
5,Ontario,14223942,192482,0.013532254279439554,273377,0.019219496254976293,305806,0.021499384629099304,360846,0.025368916718023736,477228,0.03355103669573456,537291,0.03777370577017257,549179,0.038609479706821076,554537,0.03898616853190206,571454,0.04017550127805639,591883,0.04161174166767553,605036,0.04253645016269048,625238,0.04395673154460276,5644357
6,Manitoba,1342153,24700,0.018403266989680013,29651,0.022092116174534496,31894,0.023763311634366575,34174,0.025462074741106268,38995,0.029054064626015067,51316,0.038234091046251806,56167,0.04184843307730192,57593,0.042910905090552266,58759,0.04377965850391125,60628,0.04517219720851497,63688,0.04745211611492878,67999,0.05066411951543527,575564
7,Saskatchewan,1132505,15634,0.013804795563816495,24011,0.021201672398797358,28801,0.02543123429918632,33789,0.029835629864768808,41360,0.03652081006264873,46834,0.041354342806433526,48861,0.04314418037889457,50067,0.04420907633961881,54688,0.048289411525776926,67810,0.059876115337239126,77793,0.06869108745656752,81074,0.0715882049085876,570722
8,Alberta,4262635,100428,0.023560074930178164,124563,0.029222065694107048,133795,0.03138786220260473,149207,0.035003466165880966,193167,0.04531633602220223,227718,0.05342188575845692,231987,0.05442337896629667,234295,0.05496482809342109,254245,0.059645031770254785,299802,0.07033255251739827,324199,0.07605600761031615,335677,0.07874870825205536,2609083
9,British Columbia,5000879,51990,0.01039617235290036,67937,0.013585011754933483,80672,0.016131564071036313,100880,0.02017245368264259,129482,0.02589184821308414,144473,0.028889521222169142,147621,0.029519010557943915,149889,0.029972530829080246,166853,0.03336473447967847,187694,0.037532201838916715,206284,0.04124954832940369,218812,0.04375470792234725,1652587
10,Yukon,40232,60,0.0014913501690196858,70,0.0017399085305229668,72,0.001789620202823623,74,0.0018393318751242793,81,0.002013322728176576,84,0.0020878902366275602,357,0.00887353350566713,596,0.014814078345595547,693,0.017225094452177372,758,0.0188407238019487,944,0.023463909325909724,1519,0.03775601511234838,5308
11,Northwest Territories,41070,24,0.0005843681519357195,31,0.000754808862916971,42,0.0010226442658875091,42,0.0010226442658875091,51,0.0012417823228634038,128,0.003116630143657171,128,0.003116630143657171,128,0.003116630143657171,461,0.011224738251765278,1059,0.025785244704163622,1871,0.0455563671779888,2063,0.05023131239347456,6028
12,Nunavut,36858,266,0.007216886428997775,294,0.007976558684681752,358,0.009712952411959411,395,0.010716805035541808,509,0.013809756362255142,648,0.01758098648868631,657,0.01782516685658473,657,0.01782516685658473,657,0.01782516685658473,664,0.018015084920505724,674,0.018286396440392857,674,0.018286396440392857,6453
13,Alabama,5039877,365747,0.0725706202750583,460860,0.09144270782798866,493769,0.09797243067638357,515866,0.10235686307423772,528309,0.10482577253373446,544045,0.10794807095490624,550983,0.10932469185259878,587405,0.11655145552163278,704420,0.1397692840519719,798320,0.15840069112797792,832264,0.16513577613104446,846297,0.1679201694803266,7228285
14,Alaska,732673,47019,0.06417460449613947,54457,0.0743264730650645,58681,0.08009166435776943,63298,0.08639324773807688,68148,0.09301284474792984,70319,0.09597596745069083,71275,0.09728077873758142,75486,0.10302822678056923,89345,0.12194389584439443,115703,0.1579190170785603,139429,0.19030181267768842,151323,0.20653552130350103,1004483
15,Arizona,7276316,530267,0.07287575196019525,762145,0.10474325194232906,817821,0.11239492622365493,842192,0.11574428598208214,863571,0.11868244864571577,881454,0.12114014839377509,895347,0.12304949372732026,929541,0.12774884983005136,1016663,0.13972221657223244,1097225,0.15079402818679122,1170990,0.1609317132460987,1272943,0.1749433367105002,11080159
16,Arkansas,3025891,229442,0.07582626076088002,296494,0.09798568421664891,322509,0.10658315187163053,330609,0.10926004935405803,335968,0.11103109794767889,341450,0.11284279572529216,350085,0.11569650063402813,388436,0.12837078401039562,455781,0.15062703844917083,496934,0.16422733006575585,513352,0.1696531699258169,529768,0.1750783488235366,4590828
17,California,39237836,2434935,0.062055792271520784,3396805,0.08656963141392406,3629609,0.09250278226352748,3729854,0.09505758676395916,3806388,0.09700810207780063,3854032,0.09822233825535129,3884733,0.09900477182278859,4054994,0.10334397646190274,4479472,0.11416205521629684,4744423,0.12091449181856002,4930209,0.1256493604795127,5086404,0.1296300845948793,48031858
18,Colorado,5812069,362438,0.06235954872524741,415482,0.07148607492443741,445512,0.07665290966091422,479774,0.08254788441086987,527929,0.09083322995649226,553723,0.0952712364564151,563627,0.09697527679041663,582404,0.10020596796080707,629580,0.1083228709087934,686890,0.11818338701760078,762463,0.13118615763164546,854994,0.14710664997266895,6864816
19,Connecticut,3605597,185708,0.051505478843032096,253954,0.0704332736021247,282626,0.07838535476926567,312468,0.08666193143604235,339233,0.09408511267343522,347563,0.09639540969220908,349387,0.09690128985574373,354335,0.09827360073796378,373784,0.10366771438960039,391066,0.10846081800045873,403415,0.1118857709278103,422785,0.11725797419955697,4016324
20,Delaware,1003384,58064,0.05786817409884949,78495,0.0782302687704807,87080,0.08678631510966887,95188,0.09486697017293479,104621,0.10426815655820702,108894,0.10852674549325084,109770,0.10939979110689427,111563,0.11118674405810737,120180,0.11977468247450627,133599,0.13314842572733868,144397,0.14391000853113065,153762,0.15324342425233012,1305613
21,District of Columbia,670050,29252,0.04365644354898888,37008,0.05523169912693083,40684,0.06071785687635251,44656,0.06664577270352959,47697,0.07118423998209089,49000,0.07312887097977763,49362,0.07366912916946497,50398,0.07521528244160884,55570,0.08293410939482128,61331,0.09153197522572942,64470,0.09621670024625029,67047,0.10006268188941124,596475
22,Florida,21781128,1323315,0.06075511791675803,1727107,0.07929373538413621,1910921,0.08773287590982431,2064525,0.094785035926514,2238937,0.10279251836727647,2326755,0.10682435730601281,2365464,0.10860153799197177,2634234,0.12094111930291214,3269502,0.15010710189114174,3620106,0.16620378889467982,3690812,0.1694499935907819,3730395,0.1712673007568754,30902073
23,Georgia,10799566,677589,0.06274224353089744,912479,0.08449219163066368,1008660,0.09339819766831371,1060973,0.09824218862128349,1101487,0.10199363567017415,1124080,0.1040856641831718,1135093,0.10510542738476712,1179449,0.10921262947048058,1413284,0.1308648884594066,1582063,0.14649320167125235,1636325,0.1515176628394141,1666110,0.15427564403976973,14497592
24,Hawaii,1441553,22397,0.01553671630526245,26692,0.018516141966337694,28381,0.0196877950377128,30867,0.021412324069944012,33970,0.023564863726827943,36332,0.025203374416341264,37807,0.02622657647689679,42862,0.02973321133527522,63957,0.044366735041999845,79572,0.055198802957643595,84364,0.058522995685902635,87772,0.06088711271802008,574973
25,Idaho,1900923,141077,0.07421499976590319,163165,0.0858346182354572,171462,0.09019934000482924,180897,0.09516271832157326,187656,0.0987183594495937,192305,0.1011640134818717,195089,0.10262856517596979,200484,0.10546666014351976,222552,0.11707575740837477,259100,0.13630220687529163,292317,0.1537763496995933,307561,0.16179561192115618,2513665
26,Illinois,12671469,963389,0.07602820162366336,1128613,0.0890672581055914,1187839,0.09374122290004419,1248111,0.09849773534544416,1337868,0.10558112875468503,1382587,0.10911023812629775,1392197,0.10986863480469392,1419611,0.11203207773305526,1528129,0.12059604139030762,1630878,0.12870473028817733,1701658,0.13429050728056866,1816002,0.14331424399175818,16736882
27,Indiana,6805985,517773,0.07607613005318113,628391,0.09232917792207887,662213,0.09729862760496827,687713,0.1010453299559138,721577,0.10602095067796946,744213,0.10934684692957743,754317,0.1108314226375756,771299,0.11332657947380137,862935,0.12679061149855606,967682,0.14218103624971257,1025834,0.15072528076391586,1107189,0.1626787305584717,9451136
28,Iowa,3193079,282980,0.08862292476947799,320187,0.10027531420299968,336890,0.1055063153777279,352137,0.1102813303397755,365229,0.11438144812577453,371478,0.11633849334764346,373960,0.11711579951513884,378831,0.11864128635714932,408390,0.1278984954647223,452057,0.14157401053967034,486132,0.15224552853217851,528221,0.16542684975849328,4656492
29,Kansas,2934582,230108,0.0784125303024417,279008,0.09507589155797998,296644,0.10108560605905713,303962,0.10357931725881232,310600,0.10584130891554572,315334,0.10745448585181808,319149,0.10875450064097715,333850,0.11376407270268815,374122,0.1274873218741204,412162,0.14044998572198697,436794,0.14884368540391782,470545,0.1603448123105778,4082278
30,Kentucky,4509394,265261,0.058824090332315164,364498,0.08083081673502027,405126,0.0898404530630945,427842,0.094877937035442,444771,0.09863210001166454,458712,0.10172364623716623,465330,0.10319124920111217,485063,0.10756722521917579,581982,0.12905991359371127,695474,0.1542278186381585,745353,0.1652889501338761,789225,0.17501797359024296,6128637
31,Louisiana,4624047,315275,0.06818161666609357,401591,0.08684838194767484,430504,0.09310112981118056,445469,0.09633747234835632,458581,0.09917308366459078,471663,0.10200220715749646,482035,0.10424526394303518,541679,0.117143921763771,692176,0.14969052001417807,741906,0.16044516848552795,760000,0.16435819099589602,771837,0.1669180698206571,6512716
32,Maine,1372247,24902,0.018146878805346267,39543,0.0288162408079595,44763,0.03262022070370713,50788,0.037010829682994385,61616,0.044901537405437945,67819,0.04942186064170663,69055,0.050322573122768714,70463,0.051348627470127466,76290,0.055594947556817396,90727,0.06611564827614853,104259,0.0759768467338606,120600,0.08788505276382459,820825
33,Maryland,6165129,280219,0.04545225249950163,355636,0.05768508655698851,382702,0.06207526233433234,412928,0.0669779983516971,448340,0.07272191709208356,459995,0.07461238848367974,462354,0.07499502443501183,469095,0.07608843221285394,498376,0.08083788676603523,533870,0.08659510612024501,561718,0.09111212433673327,587285,0.09525915840528236,5452518
34,Massachusetts,6984723,375178,0.05371408429511092,526423,0.07536777048996789,582543,0.08340244845787012,638339,0.09139073947528055,690279,0.09882696851399833,707131,0.10123966261797354,710049,0.1016574315116004,719780,0.10305061489195777,761906,0.10908177747349465,813599,0.11648264362094245,855230,0.12244293725033906,924400,0.13234597850193916,8304857
35,Michigan,10050811,528621,0.052594860255555494,612710,0.060961249793673365,647415,0.06441420498306057,753449,0.07496400041747875,940175,0.09354220271379096,992925,0.09879053541052558,1000241,0.09951843687041773,1011106,0.100599444164257,1065671,0.10602835930354276,1159419,0.11535576581830063,1285518,0.1279019175666521,1494953,0.1487395395257159,11492203
36,Minnesota,5707390,415302,0.07276565996015692,462528,0.08104019525562473,485230,0.08501784528479743,521667,0.09140202439293618,577524,0.10118880959597995,601517,0.10539265758954619,605448,0.10608141374603804,612701,0.10735222229425359,651388,0.11413062713429431,714790,0.1252393826249827,797984,0.13981592286491723,915942,0.16048351347989187,7362021
37,Mississippi,2949965,218386,0.07403003086477297,275706,0.09346076987354088,294994,0.09999915253231818,305417,0.10353241479136194,311900,0.10573006798385744,317755,0.10771483729467976,321944,0.10913485414233728,343505,0.11644375441742529,439661,0.1490393953826571,489216,0.1658378997716922,504811,0.1711244031708851,514639,0.17445596812165567,4337934
38,Missouri,6168187,445019,0.07214745597044966,534394,0.08663712692238416,563489,0.09135407211227546,582380,0.09441672245021106,592687,0.09608771588799107,606670,0.09835467050528786,627082,0.10166390869796911,688472,0.11161659009365313,766882,0.12432859120516287,827390,0.13413828082708906,860753,0.13954716353443888,914524,0.14826463594570008,8009742
39,Montana,1104271,81555,0.07385415355469807,94070,0.08518742229036169,100003,0.09056019763264633,104725,0.09483632188113245,108985,0.09869407056782258,111844,0.10128310894698855,113821,0.10307343034454405,116366,0.10537811823365822,128098,0.11600232189381049,152005,0.13765189885453843,176976,0.16026500741212982,191593,0.1735017943964842,1480041
40,Nebraska,1963692,167716,0.0854085060182554,190950,0.0972403004137105,200946,0.10233071174094512,209896,0.10688845297531385,220032,0.11205015857884026,223404,0.11376733214781137,224488,0.11431935354424218,228450,0.11633698156330015,244254,0.12438508686698321,267079,0.1360086001267001,284766,0.1450156134465079,311212,0.1584831022380292,2773193
41,Nevada,3143991,227046,0.07221585557973925,279146,0.08878714983598872,293980,0.09350535672653007,304112,0.09672801226212162,315438,0.10033043987721339,324262,0.10313706368752328,334255,0.10631550790062694,356401,0.11335942119427186,392052,0.12469883024474307,422329,0.13432894687039498,440251,0.1400293448677175,458369,0.1457920840104186,4147641
42,New Hampshire,1388992,45932,0.03306858498825047,66289,0.047724536930378286,75588,0.05441931990968991,84539,0.06086356148919504,95163,0.06851227364880431,98767,0.07110696101921393,99527,0.07165412039810165,100657,0.07246766000092153,108021,0.07776934640372299,120763,0.08694290535870616,136775,0.09847068953600885,162583,0.11705107012855366,1194604
43,New Jersey,9267130,535043,0.05773556645908712,700346,0.07557312781842922,792496,0.08551687523537492,914422,0.09867369940855475,998812,0.10778007862196819,1016490,0.10968768108357171,1023613,0.11045631171678826,1040281,0.11225492682200422,1094249,0.11807852053440493,1156243,0.1247681860511291,1199738,0.1294616564135822,1255893,0.1355212455204578,11727626
44,New Mexico,2115877,144142,0.06812399775601323,174550,0.08249534353840039,185297,0.08757456128120869,191945,0.09071652085636357,197733,0.0934520295839503,203151,0.09601266992362978,205629,0.09718381550534365,210416,0.0994462343510516,233487,0.11034998726296472,253815,0.11995735101804123,277835,0.13130961771407318,316089,0.14938911855462297,2594089
45,New York,19835913,995816,0.050202680360616626,1428839,0.07203293339711664,1650303,0.08319773332339177,1882308,0.09489394312225508,2052022,0.10344983868400713,2102869,0.10601321955787969,2115377,0.1066437930031252,2152964,0.10853868939634893,2282836,0.11508600587227823,2432444,0.1226282853731008,2564789,0.1293002747088072,2738968,0.13808126704326643,24399535
46,North Carolina,10551162,539545,0.05113607392247413,761302,0.07215337988365642,862170,0.08171327480328706,916159,0.08683015197757366,969752,0.091909497740628,1003243,0.09508365050219113,1013985,0.09610173742001119,1048076,0.09933275595616863,1220902,0.11571256322289432,1400217,0.1327073738418574,1482464,0.14050243944695381,1537044,0.1456753294092158,12754859
